Ticker;CompanyName;Country;Sector;Industry;CP;StartP;MinP;MaxP;Vol;MA;Shares;EV;EPS;Debt;Assets;Equity;Cash;CFOpeAct;CapExp;FCF;netIncome;Sales;MCap;Debts;ROA;FCFyield;PER;Pr6m;Signal;Quality;Quality;Momentum;Momentum;Final_rank;Final;
STM.MI;STMicroelectronics;Switzerland;Technology;Semiconductors;33.3349990845;32.9000473022;28.375169754;35.4415588379;3128358.66666667;31.526734231;660697100;29107716096;1.172;6.362e+09;1.4978e+10;8.557e+09;3.454e+09;6.82e+08;-4.05e+08;2.77e+08;3.64e+08;3.016e+09;22024337223.6137;9.3284457478;0.0243023101;0.009516377;28.4428319833;1.0132203999;BUY;205.5;92.5675675676;42;18.9189189189;131;59.009009009;
ORNBV.HE;Orion Oyj B;Finland;Healthcare;Drug Manufacturers—General;35.6399993896;36.0637588501;31.5079307556;37.9900016785;349558.737704918;35.4049712165;126948035;4930351616;1.36;342900000;1041400000;698500000;1.59e+08;4.4e+07;-9200000;34800000;59600000;268700000;4524427889.91707;7.7931818182;0.057230651;0.0070583201;26.2058819042;0.9882497146;BUY;213;95.9459459459;34;15.3153153153;130;58.5585585586;
CA.PA;Carrefour;France;Consumer Defensive;Grocery Stores;16.2399997711;14.4944887161;13.5955677032;17.4150009155;2808082.07936508;15.4139702434;658510065;26515007488;0.793;3.6291e+10;4.7588e+10;9.795e+09;4.439e+09;2.132e+09;-5.03e+08;1.629e+09;3.31e+08;1.8486e+10;10694203304.879;17.0220450281;0.006955535;0.0614369051;20.4791926496;1.1204258452;BUY;156;70.2702702703;90;40.5405405405;129;58.1081081081;
EVK.DE;Evonik Industries;Germany;Basic Materials;Specialty Chemicals;29.2900009155;25.1001834869;25.1001834869;29.3099994659;737484.333333333;27.5061764641;190650000;16172449792;1.118;1.2428e+10;2.1427e+10;8.915e+09;9.36e+08;4.94e+08;-1.82e+08;3.12e+08;1.86e+08;3.358e+09;5584138674.54529;25.1578947368;0.0086806366;0.0192920679;26.1985696919;1.1669237769;BUY;125;56.3063063063;120;54.0540540541;128;57.6576576577;
ANDR.VI;Andritz AG;Austria;Industrials;Industrial Distribution;47.6599998474;38.546245575;36.5800018311;48.7799987793;185612.304;43.1849121094;66041871;4608171520;2.377;5800600000;7031200000;1234100000;9.9e+08;69200000;-20500000;48700000;62100000;1.494e+09;3147555561.78281;83.823699422;0.0088320628;0.010568183;20.0504837389;1.236436886;HOLD;88.5;39.8648648649;156;70.2702702703;127;57.2072072072;
CATR.PA;CATERPILLAR INC;United States;Industrials;Farm & Heavy Construction Machinery;181.5399932861;161.6263427734;147.7867889404;206.4377746582;74.4365079365;182.4219735766;546542017;125326073856;5.313;6.4112e+10;8.0729e+10;1.6573e+10;1.0492e+10;1.928e+09;-5.04e+08;1.424e+09;1.53e+09;1.1887e+10;99219234096.7695;33.2531120332;0.0189522972;0.0113623603;34.1690181227;1.123207951;BUY;150;67.5675675676;94;42.3423423423;126;56.7567567568;
ORA.PA;Orange;France;Communication Services;Telecom Services;9.593000412;9.4770812988;9.3652639389;10.4795217514;7207994.57936508;9.9460766278;1911484973;60177551360;1.705;7.0695e+10;1.07733e+11;3.4395e+10;8.145e+09;4185500000;-2575500000;1.61e+09;1947500000;10750500000;18336876133.4965;16.8904551428;0.018077098;0.0267541627;5.6263932035;1.0122315204;HOLD;203.5;91.6666666667;40;18.018018018;125;56.3063063063;
SLB.PA;SCHLUMBERGER;United States;Energy;Oil & Gas Equipment & Services;23.9500007629;20.4814929962;18.0573539734;29.8500003815;33655.6825396825;24.0799459427;1394560920;47851200512;0.613;2.7849e+10;4.0908e+10;1.3059e+10;2.682e+09;1.22e+09;-3.46e+08;8.74e+08;2.99e+08;5.223e+09;33399735097.9655;22.8270491803;0.0073090838;0.0182649545;39.0701480635;1.1693483853;BUY;119;53.6036036036;122;54.954954955;124;55.8558558559;
ORNAV.HE;Orion Oyj A;Finland;Healthcare;Drug Manufacturers—General;35.5999984741;36.9262237549;33.1807785034;38.2707366943;6257.5327868853;36.2190738741;126948035;4945813504;1.36;342900000;1041400000;698500000;1.59e+08;4.4e+07;-9200000;34800000;59600000;268700000;4519349852.29267;7.7931818182;0.057230651;0.007036254;26.1764694663;0.9640844596;HOLD;211.5;95.2702702703;28;12.6126126126;122.5;55.1801801802;
MAREL.AS;MAREL;Iceland;Industrials;Specialty Industrial Machinery;6;5.4066724777;5.1888208389;6.2600002289;50515.0634920635;5.8135152961;548769782;4851876864;0.136;912500000;1.873e+09;9.52e+08;85600000;67300000;-8700000;58600000;21200000;3.34e+08;3292618692;13.558692422;0.01131874;0.0120778003;44.1176470588;1.1097398677;BUY;158.5;71.3963963964;81;36.4864864865;122.5;55.1801801802;
G.MI;GENERALLI;Italy;Financial Services;Insurance—Diversified;16.8449993134;13.5953006744;13.2841739655;17.25;4813792.53174603;16.0573042385;1150605933;41096323072;1.095;5.12916e+11;5.4471e+11;3.0029e+10;7.9e+09;3949500000;-1.21e+08;3828500000;4.85e+08;2.37e+10;19381956151.3266;129.8685909609;0.000890382;0.0931591859;15.3835610168;1.2390310238;BUY;80.5;36.2612612613;158;71.1711711712;121;54.5045045045;
