"Ticker","CompanyName","Country","Sector","Industry","CP","StartP","MinP","MaxP","Vol","MA","Shares","EV","EPS","Debt","Assets","Equity","Cash","CFOpeAct","CapExp","FCF","netIncome","Sales","MCap","Debts","ROA","FCFyield","PER","Pr6m","Signal","Quality","N_Quality","Momentum","N_Momentum","Final_rank","N_Final"
"NOEJ.DE","Norma Group","Germany","Industrials","Metal Fabrication",42.7799987792969,39.1955795288086,38.6640472412109,48.7999992370605,49570.8372093023,43.6024197718894,31852841,1760007168,1.992,839533000,1464650000,624854000,168744000,33146000,-11125000,22021000,20813000,282145000,1362664499.09714,25.3283352440717,0.0142102208718807,0.0125118808607034,21.4759030016551,1.09144957909995,"HOLD",196.5,57.1220930232558,131,38.0813953488372,159,46.2209302325581
"AIXA.DE","AIXTRON SE NA O.N.","Germany","Technology","Semiconductor Equipment & Materials",25.5100002288818,17.9579257965088,15.0236892700195,26.0599994659424,759167.741935484,19.7349510115962,112117915,2577359872,0.396,149769000,654816000,504351000,163701000,-23085000,-3657000,-26742000,4076000,49544000,2860128037.31175,-6.48771929824561,0.00622464936715047,-0.0103757338237941,64.4191924971764,1.42054269061749,"HOLD",23,6.68604651162791,304,88.3720930232558,158,45.9302325581395
"CE2.DE","CROPENERGIES AG","Germany","Basic Materials","Specialty Chemicals",10.1999998092651,11.3380632400513,9.7321605682373,11.8217687606812,96248.5403225807,10.4440398293157,22333382,876129984,0.999,189745000,768105000,578360000,16103000,34063000,-4729000,29334000,10136000,214069000,227800492.140245,5.57041364530429,0.0131961125106593,0.0334813332903808,10.2102100192844,0.89962452963166,"HOLD",306,88.953488372093,19,5.52325581395349,156,45.3488372093023
"PFV.DE","PFEIFFER VACUUM TECH.O.N.","Germany","Industrials","Specialty Industrial Machinery",176.800003051758,164.318984985352,150.658737182617,179,3661.13178294574,164.127861318662,3311290,1705683968,5.26,293500000,708269000,414769000,130219000,13701000,-5116000,8585000,15932000,191664000,585436082.105255,21.4217940296329,0.0224942783038648,0.00503317153767139,33.6121678805623,1.07595603190659,"BUY",211,61.3372093023256,114,33.1395348837209,156,45.3488372093023
"SAB1L.VS","Siauliu Bankas","Lithuania","Financial Services","Banks—Regional",0.744000017642975,0.515102684497833,0.515102684497833,0.744000017642975,851303.717948718,0.644741834228874,329570442,58903324,0.085,2825454000,3189412000,363958000,541772000,-50581000,-156000,-50737000,12366000,28005000,245200414.662603,-55.8599869516221,0.00387720369773488,-0.861360557512849,8.752941384035,1.44437223884455,"HOLD",18,5.23255813953488,307,89.2441860465116,156,45.3488372093023
"NVG.LS","The Navigator Company","Portugal","Basic Materials","Paper & Paper Products",3.05399990081787,2.68354368209839,2.56112957000732,3.11800003051758,835302.96124031,2.85886999433355,213561164,2895994112,0.182,1583403605,2631674568,1047998568,361322410,87368764,-20384028,66984736,0,0,652215773.674549,18.1232231349868,0,0.0231301354248057,16.780219235263,1.13804739650439,"BUY",159,46.2209302325581,164,47.6744186046512,154,44.7674418604651
"SMHN.DE","SUESS MICROTEC SE NA O.N.","Germany","Technology","Semiconductor Equipment & Materials",25.25,23.3500003814697,21.1499996185303,29.6499996185303,69194.3100775194,25.2732558583104,16345719,492109248,0.967,98834000,236605000,137771000,49408000,10776000,-1496000,9280000,775000,52637000,412729404.75,9.17167780252413,0.00327550136303121,0.0188576013105123,26.1116856256463,1.08137043201242,"BUY",202,58.7209302325581,120,34.8837209302326,153,44.4767441860465
"PSG.MC","PROSEGUR COMPANIA DE SEGURIDAD","Spain","Industrials","Security & Protection Services",2.69199991226196,2.37192869186401,2.37192869186401,3.0174412727356,626492.682170543,2.68146146914756,175334910,2704503296,0.074,2940187000,3746660000,771232000,582376000,86790000,-12548000,74242000,9333000,834427000,472001562.336459,33.8770250028805,0.002491018667293,0.0274512514404419,36.3783771927292,1.13494133339498,"BUY",161,46.8023255813954,160,46.5116279069767,152,44.1860465116279
"PROX.BR","Proximus","Belgium","Communication Services","Telecom Services",17.3950004577637,17.181770324707,15.5891742706299,18.1488780975342,841776.558139535,17.1578422516815,141785845,8352096256,1.57,5.828e+09,8.774e+09,2.946e+09,2.76e+08,4.86e+08,-2.93e+08,1.93e+08,1.22e+08,1.357e+09,2466364838.67941,11.9917695473251,0.0139047184864372,0.0231079712307377,11.0796181259641,1.01241025395096,"BUY",256,74.4186046511628,64,18.6046511627907,151,43.8953488372093
"VPK.AS","Vopak","Netherlands","Energy","Oil & Gas Equipment & Services",35.9000015258789,39.3433570861816,35.1300010681152,41.3105278015137,334620.225806452,38.5327127825829,61117450,7555731968,2.318,0,0,2980700000,0,0,0,0,73100000,300100000,2194116548.25783,NA,Inf,0,15.4874898731143,0.912479365887358,"HOLD",293,85.1744186046512,25,7.26744186046512,149.5,43.4593023255814
"WAF.DE","Siltronic","Germany","Technology","Semiconductors",139.25,136.371124267578,133.117156982422,145.649993896484,20875.9758064516,139.649349089592,15766500,3883500032,5.36,929400000,2.008e+09,981900000,234800000,76600000,-47100000,29500000,50100000,316100000,2195485125,12.1331592689295,0.0249501992031873,0.00759624044210643,25.9794776119403,1.02111059616091,"BUY",249,72.3837209302326,69,20.0581395348837,149.5,43.4593023255814
