"CompanyName","Ticker","CP","StartP","MinP","MaxP","Vol","MA","Shares","EV","Debt","Assets","Equity","Cash","CFOpeAct","CapExp","FCF","netIncome","Sales","MCap","Debts","ROA","FCFyield","EPS","PER","Pr6m","Signal","Quality","N_Quality","Momentum","N_Momentum","Final_rank","N_Final"
"H2O INNOVATION INC","ALHEO.PA",1.63999998569489,0.850000023841858,0.754999995231628,2.1800000667572,2488.86507936508,1.38452380375257,68436346,168000464,49818000,118801000,68983000,7146000,-297000,-268000,-565000,268000,34969000,112235606.46101,-167.737373737374,0.00225587326706004,-0.00336308594957214,0.00391604776795067,418.789576347053,1.92941169375779,"HOLD",20,4.92610837438424,374,92.1182266009852,193,47.5369458128079
"GREENYARD","GREEN.BR",7.6399998664856,5.57000017166138,4.65000009536743,7.8899998664856,56864.7142857143,6.06932538274735,21124598,1042065408,1547974000,1950580000,387743000,126296000,34810000,-10816000,23994000,377500,1086314000,161391925.899562,44.469232979029,0.000193532180172051,0.0230254260584764,0.0178701625469985,427.528280528641,1.37163368600163,"HOLD",134.5,33.128078817734,256,63.0541871921182,191,47.0443349753695
"KPS AG NA O.N.","KSC.DE",5.26000022888184,5.46000003814697,4.34999990463257,6.26000022888184,27259.0158730159,5.16365076625158,16012379,237997648,0,0,66277000,0,0,0,0,2100000,36300000,84225117.2049427,NA,Inf,0,0.131148532020133,40.1071986690203,0.963369998559009,"BUY",345,84.9753694581281,45,11.0837438423645,189.5,46.6748768472906
"SECHE ENVIRONNEM.","SCHP.PA",50.2000007629395,33.7000007629395,32.3499984741211,55.5999984741211,6295.80158730159,40.5746031867133,2285910,856821632,837325000,1094554000,252927000,105265000,0,0,0,7363000,195577000,114752683.744011,Inf,0.0067269408361762,0,3.22103669873267,15.5850446481069,1.48961423223899,"HOLD",90,22.1674876847291,300,73.8916256157635,189.5,46.6748768472906
"Evli Pankki Oyj","EVLI.HE",16.2000007629395,10.5,9.81999969482422,17.5,11269.7565217391,13.5953043149865,5044541,515508704,677200000,772600000,92400000,6800000,-19500000,-1e+05,-19600000,10900000,2.8e+07,81721568.0486794,-34.7282051282051,0.0141082060574683,-0.0380206965428851,2.16075159266225,7.49739156409902,1.54285721551804,"HOLD",74,18.2266009852217,315,77.5862068965517,188,46.3054187192118
"HEXAOM","HEXA.PA",38.2000007629395,31.5,28.7999992370605,40.5,2640.65873015873,34.8349205047365,3115232,297064384,507933000,716930000,207837000,171790000,5457000,-941500,4515500,7809500,241534000,119001864.776733,93.0791643760308,0.0108929742094765,0.0152004085417389,2.5068758923894,15.2380901180272,1.21269843691871,"HOLD",203.5,50.1231527093596,184,45.320197044335,187,46.0591133004926
"NRJ GROUP","NRG.PA",6.34000015258789,5.90000009536743,5.3600001335144,6.73999977111816,8442.12698412698,5.96142861956642,16149363,256703072,217135000,849693000,632211000,284669000,10207500,-3944500,6263000,13720000,73214500,102386963.884197,21.2721038452119,0.0161470083900891,0.0243978381372857,0.849569113035604,7.46260669709892,1.07457627967937,"BUY",284,69.9507389162562,103,25.3694581280788,186,45.8128078817734
"Ilkka-Yhtymä Oyj 2","ILK2S.HE",5.15999984741211,3.33999991416931,3.25999999046326,5.15999984741211,20699.6347826087,4.19260866331018,25311452,90253104,27378000,157106000,129728000,13019000,-616000,-449000,-1065000,1466000,11462000,130607088.457779,-44.4448051948052,0.00933127951828702,-0.0118001481699732,0.0579184473494448,89.0907833954836,1.54491017365653,"HOLD",64,15.7635467980296,317,78.0788177339901,184.5,45.4433497536946
"EUROCASTLE INVEST.","ECT.AS",6.96000003814697,6,4.82000017166138,7.17999982833862,1636.47619047619,5.91904763569908,1384726,-21784068,1274000,34143000,32869000,25341000,-771500,0,-771500,1204500,1600000,9637693.0128231,-1.65132858068697,0.0352780950707319,0.0354157910267265,0.86984717554231,8.00140557312005,1.16000000635783,"HOLD",232,57.1428571428571,149,36.6995073891626,184.5,45.4433497536946
"HAWESKO HOLDING  INH O.N.","HAW.DE",46.2999992370605,39.4000015258789,38.9000015258789,47,2207.72222222222,43.3619048406207,1958382,550962176,275391000,381731000,103819000,10447000,7106000,97000,7203000,4996000,137774000,90673085.1058731,38.7547143259218,0.0130877502744079,0.0130734927255696,2.55108553898065,18.1491363302388,1.17512683867917,"BUY",224.5,55.2955665024631,156,38.423645320197,183,45.0738916256158
"Exel Composites Oyj","EXL1V.HE",8.65999984741211,6.22881555557251,6.01402854919434,8.77999973297119,12662.947826087,7.38935274455858,9732807,134669536,67920000,96800000,28880000,11974000,0,0,0,1098000,27508000,84286107.1348915,Inf,0.0113429752066116,0,0.112814319651052,76.7633034015405,1.39031245509663,"HOLD",112,27.5862068965517,265,65.2709359605911,181,44.5812807881773
"OHB SE   O.N.","OHB.DE",35.3499984741211,38.25,33.9500007629395,48.2000007629395,13847.6428571429,38.5476190173437,4832329,787478528,0,0,198011000,0,0,0,0,4151000,339102000,170822822.776451,NA,Inf,0,0.859006081746504,41.1522097751027,0.924182966643689,"HOLD",348,85.7142857142857,29,7.14285714285714,181,44.5812807881773
"Telekom Austria AG","TKA.VI",6.71999979019165,5.78000020980835,5.69999980926514,6.71999979019165,152165.308411215,6.29336449364635,136223723,7417979392,5418217000,8211974000,2791611000,210879000,357759000,-225330000,132429000,43021000,1100084000,915423389.979125,15.1448796536216,0.00523881346920972,0.0178524356838763,0.315811365689954,21.278524208622,1.16262967928412,"BUY",227,55.9113300492611,150,36.9458128078818,181,44.5812807881773
"Oriola Oyj A","OKDAV.HE",2.20000004768372,1.9633481502533,1.89428567886353,2.31852674484253,12837.9391304348,2.06078472966733,148038444,526388608,9.96e+08,1165600000,169600000,168200000,45700000,-4600000,41100000,4100000,466400000,325684583.859023,21.7943107221007,0.0035175017158545,0.0780791973370366,0.0276955086072102,79.4352643558593,1.12053486153227,"BUY",245,60.3448275862069,128,31.5270935960591,179,44.0886699507389
"PICANOL","PIC.BR",72,61.5999984741211,52.5999984741211,73,1206.98412698413,63.3809525323293,1924172,2123003776,1298800000,2762700000,816300000,345900000,83450000,-33450000,5e+07,9400000,526450000,138540384,15.5638106650689,0.0034024685995584,0.0235515360666038,4.88521816137019,14.7383387234043,1.16883119778401,"HOLD",219,53.9408866995074,153,37.6847290640394,178,43.8423645320197
