Ticker;CompanyName;Country;Sector;Industry;CP;StartP;MinP;MaxP;Vol;MA;Shares;EV;EPS;Debt;Assets;Equity;Cash;CFOpeAct;CapExp;FCF;netIncome;Sales;MCap;Debts;ROA;FCFyield;PER;Pr6m;Signal;Quality;Quality;Momentum;Momentum;Final_rank;Final
VIL.PA;VIEL ET COMPAGNIE;France;Financial Services;Capital Markets;5.9600000381;5.3653721809;5.2317152023;6.0999999046;7409.0793650794;5.6994097271;18817437;566893632;0.73;1922091000;2414135000;370796000;370900000;31999500;-1102500;30897000;5842000;188485000;112151925.237828;60.0662822857;0.0024199144;0.054502288;8.1643836139;1.1108269542;BUY;136;46.2585034014;131;44.5578231293;119;40.4761904762
MVV1.DE;MVV ENERGIE AG NA O.N.;Germany;Utilities;Utilities—Diversified;28.7999992371;25.890712738;25.890712738;29;1189.0873015873;27.5264824156;2763556;3503835648;1.708;4499732000;6160551000;1413586000;532230000;135531000;-103831000;31700000;63167000;1107679000;79590410.6915741;33.2007584981;0.010253466;0.009047228;16.8618262512;1.1123679571;BUY;133;45.2380952381;133;45.2380952381;118;40.1360544218
R4.MC;RENTA 4 BANCO;Spain;Financial Services;Asset Management;8.5;6.87996912;6.87996912;8.6000003815;6369.6349206349;7.9107940954;10648478;-582518208;0.539;1712673000;1840313000;126762000;887032000;0;0;0;7104000;47245000;90512063;Inf;0.0038602129;0;15.7699443414;1.2354706615;BUY;66;22.4489795918;198;67.3469387755;117;39.7959183673
ALGEM.PA;EUROGERM;France;Consumer Defensive;Farm Products;48.1800003052;46.2000007629;46.2000007629;48.2000007629;6840.8951612903;47.4303230163;133084;193839056;1.25;28352000;92026000;58445000;28373000;1532500;-356000;1176500;1398500;29882500;6411987.16061401;18.5004893964;0.0151967922;0.0060694683;38.5440002441;1.0428571322;BUY;169.5;57.6530612245;94;31.9727891156;116;39.4557823129
VALUE.AS;VALUE8;Netherlands;Financial Services;Asset Management;6.1999998093;5.1399998665;5.1399998665;6.5;7917.8888888889;5.9863491929;2759246;34745476;0.878;3709000;82095000;74323000;2796000;-1784000;0;-1784000;4314500;4670500;17107324.6737156;-2.0790358744;0.0525549668;-0.0513448139;7.0615031996;1.2062256752;BUY;77;26.1904761905;185;62.925170068;115;39.1156462585
PIC.BR;PICANOL;Belgium;Industrials;Specialty Industrial Machinery;76.5999984741;71.5999984741;68.4000015259;80;1370.8174603175;75.5476192293;1887705;2117980032;3.1;1298800000;2762700000;816300000;345900000;83450000;-33450000;5e+07;9400000;526450000;144598200.119591;15.5638106651;0.0034024686;0.0236073991;24.7096769271;1.0698324037;BUY;155;52.7210884354;104;35.3741496599;114;38.7755102041
ECONB.BR;ECONOCOM GROUP;France;Technology;Information Technology Services;3.1600000858;2.6199998856;2.4900000095;3.5999999046;210844.047619048;3.2101587303;56864347;1046964544;0.209;1.889e+09;2.299e+09;3.4e+08;3e+08;0;0;0;15050000;619750000;179691341.400706;Inf;0.0065463245;0;15.1196176356;1.2061069557;HOLD;74;25.1700680272;184;62.5850340136;113;38.4353741497
TVEAT.TL;Tallinna Vesi;Estonia;Utilities;Utilities—Regulated Water;14.1999998093;13.6316757202;13.4881849289;14.4600000381;4452.4;13.783784914;4915800;326198016;0.786;141791000;258595000;116804000;47122000;5246000;-2923000;2323000;4549000;11784000;69804359.0623856;27.0284025925;0.0175912141;0.0071214412;18.0661575181;1.0416914326;BUY;162.5;55.2721088435;93;31.6326530612;112;38.0952380952
UFF.PA;UNION FIN.FRANCE;France;Financial Services;Asset Management;18;20.6462345123;17.7537651062;21.6436367035;3991.2698412698;19.5141889935;4007348;150538064;0.34;177444000;348685000;171241000;154951000;11816000;-261500;11554500;3721000;58088500;72132264;15.0172647258;0.010671523;0.0767546738;52.9411764706;0.8718296786;HOLD;227.5;77.380952381;26;8.843537415;111;37.7551020408
LBIRD.PA;LUMIBIRD;France;Healthcare;Diagnostics & Research;16.1000003815;15.3800001144;14.3000001907;17.8999996185;11888.5158730159;16.2865079849;10526592;380466208;0.3;141812000;305561000;163749000;80330000;6982000;-3684000;3298000;3783000;41423500;169478135.215576;20.3110856488;0.0123805067;0.0086683125;53.6666679382;1.0468140612;HOLD;156.5;53.231292517;96;32.6530612245;110;37.4149659864
