CompanyName;ticker;country;industry;euroidx
ZUMTOBEL;ZAG.VI ;AT;IND;
SAFRAN;SAF.PA;FR;IND;
BancoComercialPortugies;BCP.LS;PO;BAN;
TUBOSREUNIDORS;TRG.MC;ES;IND;
LINGOTES;LGT.MC;ES;IND;
REALIA;RLIA.MC;ES;INM;
CIEAutomotive;CIE.MC;ES;AUT;
GESTAMP;GEST.MC;ES;AUT;
BaronDeLey;BDL.MC;ES;FOOD;
DeutscheTelekom;DTE.DE;DE;COM;
RWE;RWE.DE;DE;SUP;
ThyssenKrupp;TKA.DE;DE;IND;
FERROVIAL;FER.MC;ES;CIV;
MERLIN;MRL.MC;ES;INM;
COLONIAL;COL.MC;ES;INM;
ENAGAS;ENG.MC;ES;UTL;
SANTANDER;SAN.MC;ES;BAN;
TELEFONICA;TEF.MC;ES;COM;
GASNATURAL;GAS.MC;ES;UTL;
MITTAL;MTS.MC;ES;IND;
ACS;ACS.MC;ES;CIV;
ABERTIS;ABE.MC;ES;CIV;
VOLKSWAGEN;VOW.DE;DE;AUT;
BMW;BMW.DE;DE;AUT;
DAIMLER;DAI.DE;DE;AUT;
BAYER;BAYN.DE;DE;FAR;
PEUGEOT-CITROEN;UG.PA;FR;AUT;
CARREFOUR;CA.PA;FR;SUP;
SCHNEIDERELECTRIC;SU.PA;FR;IND;
ING;INGA.AS;HO;BAN;
SABADELL;SAB.MC;ES;BAN;
ASML;ASML.AS;HO;TECH;
SIEMENS;SIE.DE;DE;TECH;
MELIA;MEL.MC;ES;HOT;
UNICAJA;UNI.MC;ES;BAN;
AMADEUS;AMS.MC;ES;TECH;
DEUTSCHEBANK;DBK.DE;DE;BAN;
PHILIPS;PHIA.AS;HO;TECH;
GENERALLI;G.MI;IT;INS;
Anheuser-Busch;ABI.BR;BE;FOOD;
ROYALDUTCH;RDSA.AS;HO;OIL;
UNILEVER;UNA.AS;HO;FOOD;
WolkersKluwer;WKL.AS;HO;PUB;
RELX PLC ;REN.AS;HO;PUB;
AholdDelhaize;AD.AS;HO;SUP;
L'Air Liquide;AI.PA;FR;INS;
L'Oreal S.A.;OR.PA;FR;LUX;
Essilor nternational ;EI.PA;FR;LUX;
Allianz;ALV.DE ;DE;INS;
ENGI;ENGI.PA ;FR;OIL;
MunichRe;MUV2.DE ;DE;INS;
Merk;MRK.DE ;DE;PHA;
InfineonTechnologies;IFX.DE;DE;TECH;
Fresenius Medical Care  ;FME.DE ;DE;HEALTH;
Lindle;LIN.DE ;DE;INS;
Deutsche Post AG ;DPW.DE;DE;;
Deutsche Telekom AG ;DTE.DE ;DE;TEL;
Continental;CON.DE ;DE;AUT;
Henkel AG & Co. KGaA ;HEN3.DE ;DE;;
Beiersdorf ;BEI.DE ;DE;;
HeidelbergCement AG ;HEI.DE ;DE;;
E.ON;EOAN.DE ;DE;;
Deutsche Borse AG;DB1.DE ;DE;;
Lufthansa ;LHA.DE ;DE;FLI;
BASF;BAS.DE;DE;;
Wirecard;WDI.DE;DE;;
KBC Group NV ;KBC.BR ;BE;;
Edenred SA ;EDEN.PA ;FR;;
LVMH;MC.PA ;FR;LUX;
Thales;HO.PA;FR;;
Ubisoft Entertainment SA ;UBI.PA;FR;;
Electricite de France S.A. ;EDF.PA;FR;;
Atos;ATO.PA;FR;;
Legrand;LR.PA;FR;;
Covivo;COV.PA;FR;;
Sodexo;SW.PA;FR;;
Teleperformance;TEP.PA;FR;;
Solvay;SOLB.BR;BE;;
Natixis;KN.PA;FR;;
BioMerieux;BIM.PA;FR;;
Groupe Bruxelles Lambert SA ;GBLB.BR;BE;;
Worldline S.A ;WLN.PA;FR;;
Ipsen;IPN.PA;FR;;
Credit Agricola;ACA.PA;FR;BAN;
Orange;ORA.PA;FR;TEL;
Societe Generale ;GLE.PA;FR;BAN;
BNP;BNP.PA;FR;BAN;
Saint-Gobain;SGO.PA;FR;;
Bouygues;EN.PA;FR;;
Pernod Ricard;RI.PA;FR;;
Capgemini;CAP.PA;FR;;
Vinci;DG.PA;FR;;
Vivendi;VIV.PA;FR;INM;
Sanofi;SAN.PA;FR;;
Kering;KER.PA;FR;LUX;
Veolia;VIE.PA;FR;;
Randstad;RAND.AS;HO;;
MITTAL;MT.AS;HO;;
JustEat;TKWY.AS;HO;;
ABN AMRO Bank;ABN.AS;HO;;
Heineken;HEIA.AS;HO;;
NN;NN.AS ;HO;;
KPN;KPN.AS;HO;TEL;
Pharol;PHR.LS;PO;;
;RENE.LS;PO;;
Sonae;SON.LS;PO;;
Galp;GALP.LS;PO;OIL;
Correios;CTT.LS;PO;;
Jeronimo Martins;JMT.LS;PO;;
EDP;EDP.LS;PO;UTL;
Navigator;NVG.LS;PO;;
NOS;NOS.LS;PO;;
Salvatore Fergamo;SFER.MI;IT;;
Terna;TRN.MI;IT;;
;REC.MI;IT;;
;SRG.MI;IT;;
;MB.MI;IT;;
;PST.MI;IT;;
;UBI.MI;IT;BAN;
;AZM.MI;IT;;
;PRY.MI;IT;;
;LDO.MI;IT;;
ATLANTIA;ATL.MI;IT;;
DAVIDE CAMPARI;CPR.MI;IT;;
;FBK.MI;IT;BAN;
;IG.MI;IT;UTL;
FIAT;FCA.MI;IT;AUT;
;UNI.MI;IT;;
;ENI.MI;IT;UTL;
;BMED.MI;IT;BAN;
;BPE.MI;IT;BAN;
TENARIS;TEN.MI;IT;;
;MONC.MI;IT;;
;BZU.MI;IT;;
;SPM.MI;IT;;
;DIA.MI;IT;SUP;
;TGYM.MI;IT;;
Brembo ;BRE.MI;IT;;
De'Longhi S.p.A ;DLG.MI;IT;;
Parmalat S.p.A.;PLT.MI;IT;;
Gambero Rosso SpA;GAMB.MI;IT;;
Sacyr;SCYR.MC;ES;;
Siemens Gamesa Renewable Energy;GAM.MC;ES;;
Tubacex;TUB.MC;ES;;
Red Eléctrica Corporación;REE.MC;ES;UTL;
Pharma Mar;PHM.MC;ES;PHA;
Compañía de Distribución Integral Logista Holdings;LOG.MC;ES;;
Almirall;ALM.MC;ES;PHA;
Zardoya Otis;ZOT.MC;ES;;
;NTGY.MC;ES;;
;ENC.MC;ES;;
;TL5.MC;ES;;
;CLNX.MC;ES;;
;VIS.MC;ES;;
;ROVI.MC;ES;;
DEUTSCHE WOHNEN;DWNI.DE ;DE;INM;
PORSCHE ;PAH3.DE ;DE;AUT;
EURONAV;EURN.BR ;BE;OIL;
Tarkett S.A;TKTT.PA;FR;;
IMMOFINANZ AG;IIA.VI;AT;INS;
Osterreichische Post AG;POST.VI;AT;;
OMV Aktiengesellschaft;OMV.VI;AT;;
Lenzing Aktiengesellschaft;LNZ.VI;AT;;
AT & S Austria Technologie & Systemtechnik Aktiengesellschaft;ATS.VI;AT;;
CA Immobilien Anlagen AG;CAI.VI;AT;INM;
VERBUND AG;VER.VI;AT;;
Telekom Austria AG;TKA.VI;AT;COM;
Voestalpine AG;VOE.VI;AT;;
Mayr-Melnhof Karton AG;MMK.VI;AT;;
Erste Group Bank AG;EBS.VI;AT;;
Schoeller-Bleckmann Oilfield Equipment Aktiengesellschaft;SBO.VI;AT;;
Wienerberger AG;WIE.VI;AT;;
Raiffeisen Bank International AG;RBI.VI;AT;;
UNIQA Insurance Group AG;UQA.VI;AT;;
Andritz AG;ANDR.VI;AT;;
Vienna Insurance Group AG;VIG.VI;AT;;
BAWAG Group AG;BG.VI;AT;;
DO & CO Aktiengesellschaft;DOC.VI;AT;;
S IMMO AG;SPI.VI;AT;;
PUMA;PUM.DE ;DE;;
KION GROUP AG;KGX.DE;DE;;
Fielmann Aktiengesellschaft;FIE.DE;DE;;
Zalando SE;ZAL.DE;DE;;
RTL Group S.A.;RRTL.DE;DE;;
Schaeffler AG;SHA.DE;DE;;
HOCHTIEF Aktiengesellschaft;HOT.DE;DE;;
