CompanyName;tickers;country;industry;ISIN;
Vopak;VPK.AS;HO;TRANS;;
Wolters Kluwer;WKL.AS;HO;MED;;
Ackermans & van Haaren;ACKB.BR;BE;BAN;;
Aedifica;AED.BR;BE;INM;;
Ageas;AGS.BR;BE;INS;;
AB InBev;ABI.BR;BE;FOOD;;
Aperam;APAM.BR;BE;MAT;;
arGEN-X;ARGX.BR;BE;HEALTH;;
Barco;BAR.BR;BE;IND;;
Cofinimmo;COFB.BR;BE;INM;;
Colruyt;COLR.BR;BE;RET;;
Galapagos;GLPG.BR;BE;HEALTH;;
GBL;GBLB.BR;BE;BAN;;
ING Group;INGA.BR;BE;BAN;;
KBC;KBC.BR;BE;BAN;;
Proximus;PROX.BR;BE;COM;;
Sofina;SOF.BR;BE;BAN;;
Telenet Group;TNET.BR;BE;MED;;
UCB;UCB.BR;BE;HEALTH;;
Umicore;UMI.BR;BE;CHE;;
WDP;WDP.BR;BE;INM;;
Altri;ALTR.LS;PO;IND;;
Banco Comercial Português;BCP.LS;PO;BAN;;
Corticeira Amorim;COR.LS;PO;FOOD;;
CTT Correios de Portugal;CTT.LS;PO;TRANS;;
EDP Renováveis;EDPR.LS;PO;UTL;;
Energias de Portugal;EDP.LS;PO;UTL;;
Galp Energia;GALP.LS;PO;OIL;;
Ibersol;IBS.LS;PO;SER;;
Jerónimo Martins;JMT.LS;PO;RET;;
Mota-Engil;EGL.LS;PO;CON;;
NOS;NOS.LS;PO;MED;;
Novabase;NBA.LS;PO;TECH;;
Pharol;PHR.LS;PO;COM;;
Redes Energéticas Nacionais;RENE.LS;PO;UTL;;
Semapa;SEM.LS;PO;MAT;;
Sonae;SON.LS;PO;RET;;
Sonae Capital;SONC.LS;PO;BAN;;
The Navigator Company;NVG.LS;PO;MAT;;
Unibail-Rodamco ;URW.AS;FR;INM;;
Exor;EXO.MI;IT;;;
Elsior Luxottica Group S.p.A.;EL.PA;FR;LUX;;
ZUMTOBEL;ZAG.VI ;AT;IND;;
SAFRAN;SAF.PA;FR;IND;;
BancoComercialPortugies;BCP.LS;PO;BAN;;
TUBOSREUNIDORS;TRG.MC;ES;IND;;
LINGOTES;LGT.MC;ES;IND;;
REALIA;RLIA.MC;ES;INM;;
GESTAMP;GEST.MC;ES;AUT;;
BaronDeLey;BDL.MC;ES;FOOD;;
DeutscheTelekom;DTE.DE;DE;COM;;
RWE;RWE.DE;DE;SUP;;
ThyssenKrupp;TKA.DE;DE;IND;;
MERLIN;MRL.MC;ES;INM;;
SANTANDER;SAN.MC;ES;BAN;;
GASNATURAL;GAS.MC;ES;UTL;;
MITTAL;MTS.MC;ES;IND;;
BMW;BMW.DE;DE;AUT;;
DAIMLER;DAI.DE;DE;AUT;;
PEUGEOT-CITROEN;UG.PA;FR;AUT;;
CARREFOUR;CA.PA;FR;SUP;;
SIEMENS;SIE.DE;DE;TECH;;
UNICAJA;UNI.MC;ES;BAN;;
DEUTSCHEBANK;DBK.DE;DE;BAN;;
PHILIPS;PHIA.AS;HO;TECH;;
GENERALLI;G.MI;IT;INS;;
Anheuser-Busch;ABI.BR;BE;FOOD;;
ROYALDUTCH;RDSA.AS;HO;OIL;;
UNILEVER;UNA.AS;HO;FOOD;;
WolkersKluwer;WKL.AS;HO;PUB;;
RELX PLC ;REN.AS;HO;PUB;;
AholdDelhaize;AD.AS;HO;SUP;;
Essilor International ;EI.PA;FR;LUX;;
Allianz;ALV.DE ;DE;INS;;
ENGI;ENGI.PA ;FR;OIL;;
MunichRe;MUV2.DE ;DE;INS;;
Merk;MRK.DE ;DE;PHA;;
InfineonTechnologies;IFX.DE;DE;TECH;;
Fresenius Medical Care  ;FME.DE ;DE;HEALTH;;
Lindle;LIN.DE ;DE;INS;;
Continental;CON.DE ;DE;AUT;;
Henkel AG & Co. KGaA ;HEN3.DE ;DE;;;
Beiersdorf ;BEI.DE ;DE;;;
HeidelbergCement AG ;HEI.DE ;DE;;;
E.ON;EOAN.DE ;DE;;;
Deutsche Borse AG;DB1.DE ;DE;;;
Lufthansa ;LHA.DE ;DE;FLI;;
BASF;BAS.DE;DE;;;
Wirecard;WDI.DE;DE;;;
KBC Group NV ;KBC.BR ;BE;;;
Edenred SA ;EDEN.PA ;FR;;;
Thales;HO.PA;FR;;;
Ubisoft Entertainment SA ;UBI.PA;FR;;;
Electricite de France S.A. ;EDF.PA;FR;;;
Atos;ATO.PA;FR;;;
Covivo;COV.PA;FR;;;
Sodexo;SW.PA;FR;;;
Teleperformance;TEP.PA;FR;;;
