"CompanyName";"tickers";"country";"industry";"ISIN"
"Técnicas Reunidas";"TRE.MC";"ES";"IND";"ES0178165017"
"TUBOSREUNIDORS";"TRG.MC";"ES";"IND";NA
"Trainers´ House Oyj";"TRH1V.HE";"FI";"TECH";"FI4000390885"
"Terna Rette Electrica";"TRN.MI";"IT";"UTL";NA
"Terveystalo Oyj";"TTALO.HE";"FI";"HEALTH";"FI4000252127"
"Tubacex";"TUB.MC";"ES";"IND";NA
"Tulikivi Oyj A";"TULAV.HE";"FI";"IND";"FI0009900583"
"Nokian Renkaat Oyj";"TYRES.HE";"FI";"RET";"FI0009005318"
"UBI Banca";"UBI.MI";"IT";"BAN";NA
"Ubisoft";"UBI.PA";"FR";"SER";"FR0000054470"
"UCB";"UCB.BR";"BE";"HEALTH";"BE0003739530"
"UniCredit";"UCG.MI";"IT";"BAN";NA
"PSA";"UG.PA";"FR";"AUT";"FR0000121501"
"Umicore";"UMI.BR";"BE";"CHE";"BE0974320526"
"Uniper SE";"UN01.DE";"DE";"UTL";NA
"UNILEVER";"UNA.AS";"HO";"FOOD";"NL0000388619"
"UNICAJA";"UNI.MC";"ES";"BAN";NA
"Unipol";"UNI.MI";"IT";"INS";NA
"United Bankers Oyj";"UNIAV.HE";"FI";"BAN";"FI4000081427"
"UPM-Kymmene Oyj";"UPM.HE";"FI";"MAT";"FI0009005987"
"Uponor Oyj";"UPONOR.HE";"FI";"IND";"FI0009002158"
"UNIQA Insurance Group AG";"UQA.VI";"AT";NA;NA
"Unibail-Rodamco-Westfield";"URW.AS";"FR";"INM";"FR0013326246"
"UnipolSai";"US.MI";"IT";"INS";NA
"United Internet";"UTDI.DE";"DE";"COM";NA
"Plc Uutechnic Group Oyj";"UUTEC.HE";"FI";"IND";"FI0009900708"
"Vaisala Oyj A";"VAIAS.HE";"FI";"IND";"FI0009900682"
"Valmet Oyj";"VALMT.HE";"FI";"IND";"FI4000074984"
"Valoe Oyj";"VALOE.HE";"FI";"IND";"FI0009006951"
"Vastned";"VASTN.AS";"HO";"RET";"NL0000288918"
"VERBUND AG";"VER.VI";"AT";NA;NA
"Verkkokauppa.com Oyj";"VERK.HE";"FI";"SER";"FI4000049812"
"Veolia";"VIE.PA";"FR";"UTL";"FR0000124141"
"Vienna Insurance Group AG";"VIG.VI";"AT";NA;NA
"Viking Line Abp";"VIK1V.HE";"FI";"SER";"FI0009005250"
"Viscofan";"VIS.MC";"ES";"FOOD";"ES0184262212"
"Vivendi";"VIV.PA";"FR";"MED";"FR0000127771"
"V Lanschot Kempen";"VLK.AS";"HO";"BAN";"NL0000302636"
"Vonovia";"VNA.DE";"DE";"INM";NA
"Voestalpine AG";"VOE.VI";"AT";NA;NA
"Volkswagen Group";"VOW3.DE";"DE";"AUT";NA
"Vopak";"VPK.AS";"HO";"TRANS";"NL0009432491"
"Siltronic";"WAF.DE";"DE";"#N/A";NA
"Wacker Chemie";"WCH.DE";"DE";"CHE";NA
"Wirecard";"WDI.DE";"DE";"TECH";NA
"WDP";"WDP.BR";"BE";"INM";"BE0974349814"
"Wessanen";"WES.AS";"HO";"FOOD";NA
"Wienerberger AG";"WIE.VI";"AT";NA;NA
"Wolters Kluwer";"WKL.AS";"HO";"MED";"NL0000395903"
"Worldline";"WLN.PA";"FR";"TECH";"FR0011981968"
"Wärtsilä Oyj Abp";"WRT1V.HE";"FI";"IND";"FI0009003727"
"Wulff-Yhtiöt Oyj";"WUF1V.HE";"FI";"IND";"FI0009008452"
"Yleiselektroniikka Oyj";"YEINT.HE";"FI";"IND";"FI0009900724"
"YIT Oyj";"YIT.HE";"FI";"IND";"FI0009800643"
"ZUMTOBEL";"ZAG.VI ";"AT";"IND";NA
"Zalando SE";"ZAL.DE";"DE";"RET";NA
"Zardoya Otis";"ZOT.MC";"ES";"IND";NA
"2CRSI";"2CRSI.PA";"FR";NA;"FR0013341781"
"A.S.T. GROUPE";"ASP.PA";"FR";NA;"FR0000076887"
"AB SCIENCE";"AB.PA";"FR";NA;"FR0010557264"
"ABC ARBITRAGE";"ABCA.PA";"FR";NA;"FR0004040608"
"ABIONYX PHARMA";"ABNX.PA";"FR";NA;"FR0012616852"
"ABIVAX";"ABVX.PA";"FR";NA;"FR0012333284"
"ACACIA PHARMA";"ACPH.BR";"BE";NA;"GB00BYWF9Y76"
"ACCSYS";"AXS.AS";"HO";NA;"GB00BQQFX454"
"ACHETER-LOUER.FR";"ALALO.PA";"FR";NA;"FR0010493510"
"ACTEOS";"EOS.PA";"FR";NA;"FR0000076861"
"ACTIPLAY (GROUPE)";"ALACT.PA";"FR";NA;"FR0011038348"
"ADEUNIS";"ALARF.PA";"FR";NA;"FR0013284627"
"ADL PARTNER";"ALP.PA";"FR";NA;"FR0000062978"
"ADOCIA";"ADOC.PA";"FR";NA;"FR0011184241"
"ADOMOS";"ALADO.PA";"FR";NA;"FR0013247244"
"ADP";"ADP.PA";"FR";NA;"FR0010340141"
"ADTHINK";"ALADM.PA";"FR";NA;"FR0010457531"
"ADUX";"ADUX.PA";"FR";NA;"FR0012821890"
"ADVENIS";"ADV.PA";"FR";NA;"FR0004152874"
"ADVICENNE";"ADVIC.PA";"FR";NA;"FR0013296746"
"AGFA-GEVAERT";"AGFB.BR";"BE";NA;"BE0003755692"
"AGRIPOWER";"ALAGP.PA";"FR";NA;"FR0013452281"
"AGROGENERATION";"ALAGR.PA";"FR";NA;"FR0010641449"
"AIB GROUP PLC";"A5G.IR";"IR";NA;"IE00BF0L3536"
"AKKA TECHNOLOGIES";"AKA.PA";"FR";NA;"FR0004180537"
"AKWEL";"AKW.PA";"FR";NA;"FR0000053027"
"ALBIOMA";"ABIO.PA";"FR";NA;"FR0000060402"
"ALD";"ALD.PA";"FR";NA;"FR0013258662"
"ALFEN";"ALFEN.AS";"HO";NA;"NL0012817175"
"ALPES (COMPAGNIE)";"CDA.PA";"FR";NA;"FR0000053324"
"ALTAMIR";"LTA.PA";"FR";NA;"FR0000053837"
"ALTAREA";"ALTA.PA";"FR";NA;"FR0000033219"
"ALTEN";"ATE.PA";"FR";NA;"FR0000071946"
"ALTICE EUROPE B";"ATCB.AS";"HO";NA;"NL0011333760"
"ALTICE EUROPE N.V.";"ATC.AS";"HO";NA;"NL0011333752"
"ALUMEXX N.V.";"ALX.AS";"HO";NA;"NL0012194724"
"AMG";"AMG.AS";"HO";NA;"NL0000888691"
"AMOEBA";"AMEBA.PA";"FR";NA;"FR0011051598"
"AMPLITUDE SURGICAL";"AMPLI.PA";"FR";NA;"FR0012789667"
"AMUNDI";"AMUN.PA";"FR";NA;"FR0004125920"
"AND INTERNATIONAL";"AND.AS";"HO";NA;"NL0000430106"
"ANTALIS";"ANTA.PA";"FR";NA;"FR0013258589"
"APERAM";"APAM.AS";"HO";"MAT";"LU0569974404"
"APPLEGREEN PLC";"APGN.IR";"IR";NA;"IE00BXC8D038"
"ARCADIS";"ARCAD.AS";"HO";NA;"NL0006237562"
"ARCHOS";"JXR.PA";"FR";NA;"FR0000182479"
"ARGAN";"ARG.PA";"FR";NA;"FR0010481960"
"ARTEFACT";"ALATF.PA";"FR";NA;"FR0000079683"
"ARTMARKET COM";"PRC.PA";"FR";NA;"FR0000074783"
"ARYZTA AG";"YZA.IR";"IR";NA;"CH0043238366"
"ASCENCIO";"ASC.BR";"BE";NA;"BE0003856730"
"ASIT";"ASIT.BR";"BE";NA;"BE0974289218"
"ASM INTERNATIONAL";"ASM.AS";"HO";NA;"NL0000334118"
"ASSYSTEM";"ASY.PA";"FR";NA;"FR0000074148"
"ATARI";"ATA.PA";"FR";NA;"FR0010478248"
"ATEME";"ATEME.PA";"FR";NA;"FR0011992700"
"ATENOR";"ATEB.BR";"BE";NA;"BE0003837540"
"ATRIUM EUR REALEST";"ATRS.AS";"HO";NA;"JE00B3DCF752"
"AUBAY";"AUB.PA";"FR";NA;"FR0000063737"
"AUDIOVALLEY";"ALAVY.PA";"FR";NA;"BE0974334667"
"AUPLATA MINING GR";"ALAMG.PA";"FR";NA;"FR0013410370"
"AUREA";"AURE.PA";"FR";NA;"FR0000039232"
"AVENIR TELECOM";"AVT.PA";"FR";NA;"FR0000066052"
"AWOX";"AWOX.PA";"FR";NA;"FR0011800218"
"AXWAY SOFTWARE";"AXW.PA";"FR";NA;"FR0011040500"
"B&S Group";"BSGR.AS";"HO";NA;"LU1789205884"
"BALTA GROUP";"BALTA.BR";"BE";NA;"BE0974314461"
"BALYO";"BALYO.PA";"FR";NA;"FR0013258399"
"BAM GROEP KON";"BAMNB.AS";"HO";NA;"NL0000337319"
"BANK OF IRELAND GP";"BIRG.IR";"IR";NA;"IE00BD1RP616"
"BASTIDE LE CONFORT";"BLC.PA";"FR";NA;"FR0000035370"
"BD MULTI MEDIA";"ALBDM.PA";"FR";NA;"FR0000035305"
"BE SEMICONDUCTOR";"BESI.AS";"HO";NA;"NL0012866412"
"BEFIMMO";"BEFB.BR";"BE";NA;"BE0003678894"
"BEKAERT";"BEKB.BR";"BE";NA;"BE0974258874"
"BELIER";"BELI.PA";"FR";NA;"FR0000072399"
"BENETEAU";"BEN.PA";"FR";NA;"FR0000035164"
